Age,SR,Ca,K_Area ,Br_Area ,K/Ti,Sr_Area 
3166,0.404040404,596025,35859,2395,2.543913167,26835
3178,0.399840064,465411,31707,3371,2.170671596,23422
3191,0.395726157,500524,31721,2748,2.189467145,23277
3203,0.39184953,502597,35851,2541,2.411610386,24914
3216,0.388048118,512824,33640,2049,2.374867631,23480
3229,0.384467512,585913,35801,2591,2.556666429,22890
3242,0.380952381,509124,32195,2516,2.371988507,23129
3255,0.377643505,548324,32201,1937,2.364764632,25232
3269,0.374391614,790410,28474,1955,2.665605692,28048
3277,0.372578241,646118,30039,2091,2.632459907,28471
3290,0.36954915,645866,38856,1856,2.932528302,28236
3304,0.366568915,730227,32161,2133,2.821140351,29741
3309,0.365497076,551213,39545,2569,2.661170929,23289
3323,0.362713094,614231,35752,2280,2.589786309,24716
3337,0.359971202,637979,32766,2043,2.594710168,25767
3348,0.357909807,546792,40509,2231,2.952981484,23476
3367,0.354484225,499734,32713,2768,2.289543673,21499
3382,0.352112676,561013,33113,2393,2.431382627,24152
3396,0.349895031,509907,32910,2641,2.214223239,21887
3410,0.347705146,470038,31717,4182,2.050358782,19850
3425,0.345542502,342204,36513,5339,2.026923504,17963
3439,0.343524562,523424,37958,4082,2.372819904,18607
3451,0.341997264,362463,32693,5563,1.886170888,19873
3465,0.340136054,400601,34093,5093,1.909971989,20578
3480,0.338294993,500717,31327,4861,1.922845568,20578
3495,0.336587008,764818,27503,4011,2.089258584,20738
3508,0.3355705,382700,34364,3720,2.1017737,17837
3523,0.3338898,294555,50383,4182,2.767384379,15600
3538,0.3322259,260109,61462,1887,2.959171883,13875
3553,0.3305785,184366,64387,1669,2.899139988,12260
3569,0.3290556,175334,55381,1694,2.724236313,13136
3584,0.3275467,150808,54999,1924,2.720029674,12218
3599,0.3261579,134531,64915,2291,2.936134606,11608
3615,0.3247808,177693,67502,1703,3.164057373,12994
3630,0.3234153,217390,61359,1500,2.828125,14246
3645,0.3221649,290804,52258,2007,2.540742902,15888
3661,0.3210273,234751,44028,4744,1.988438262,17494
3677,0.3197953,215484,39155,7071,1.832069998,19389
3692,0.3186743,251214,37464,6098,1.787319307,19706
3708,0.317662,298097,40312,5526,1.839638571,20915
3724,0.3166561,158383,12798,4077,0.422738984,11697
3739,0.3156566,224883,36943,4056,2.121941413,16381
3755,0.3147624,340265,37803,4092,2.149241003,17372
3771,0.3138732,546815,36379,3515,2.261672366,19134
3787,0.312989,560268,40586,3863,2.785013381,18022
